hospital_name,__key,detail_url,detail_name,detail_address,detail_city,detail_state,detail_zip,detail_phone,detail_hospital_type,detail_emergency_services,detail_mortality_overall_text,detail_mortality_overall_percent,detail_mortality_overall_direction,detail_mortality_heart_attack_percent,detail_mortality_stroke_percent,detail_mortality_heart_failure_percent,detail_mortality_pneumonia_percent,detail_c_diff_cases,detail_mrsa_cases,detail_avg_time_in_ed_minutes,detail_overall_patient_rating,detail_positive_patient_ratings,detail_negative_patient_ratings,State,County,ed_minutes_rating,detail_overall_patient_rating_points,mortality_overall_contribution,total_quality_points,adj_total_heartattack,adj_total_stroke,adj_total_heartfailure,adj_total_pneu
Hancock County Health System,hancock county health system,https://www.hospitalstats.org/hospital-ratings/hancock-county-health-system-britt-ia.htm,Hancock County Health System Ratings,532 1st St Nw,Britt,IA,50423,(641) 843-5000,Critical Access Hospitals,YES,3% better,3.0,better,,,,17.6,0.0,,104.0,POOR,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Hancock,wait time rating not available,5,3% better (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Hansen Family Hospital,hansen family hospital,https://www.hospitalstats.org/hospital-ratings/hansen-family-hospital-iowa-falls-ia.htm,Hansen Family Hospital Ratings,920 South Oak Street,Iowa Falls,IA,50126,(641) 648-4631,Critical Access Hospitals,YES,13% better,13.0,better,,,11.4,15.1,0.0,0.0,111.0,POOR,Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it,IA,Hardin,wait time rating not available,5,13% better (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",4,3
Chi Health Missouri Valley,chi health missouri valley,https://www.hospitalstats.org/hospital-ratings/chi-health-missouri-valley-missouri-valley-ia.htm,Chi Health Missouri Valley Ratings,631 N 8th St,Missouri Valley,IA,51555,(712) 642-2784,Critical Access Hospitals,YES,,,,,,,,2.0,0.0,106.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Harrison,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
Regional Health Services Of Howard County,regional health services of howard county,https://www.hospitalstats.org/hospital-ratings/regional-health-services-of-howard-county-cresco-ia.htm,Regional Health Services Of Howard County Ratings,235 8th Avenue West,Cresco,IA,52136,(563) 547-2101,Critical Access Hospitals,YES,10% worse,10.0,worse,,,,20.3,0.0,0.0,90.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Howard,wait time rating not available,5,10% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",0
Horn Memorial Hospital,horn memorial hospital,https://www.hospitalstats.org/hospital-ratings/horn-memorial-hospital-ida-grove-ia.htm,Horn Memorial Hospital Ratings,701 E 2nd St,Ida Grove,IA,51445,(712) 364-3311,Critical Access Hospitals,YES,17% better,17.0,better,,,,15.6,0.0,0.0,107.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Ida,wait time rating not available,5,17% better (±1),6,"no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6","no data for specific chief complaint, quality point remains at 6",3
Compass Memorial Healthcare,compass memorial healthcare,https://www.hospitalstats.org/hospital-ratings/compass-memorial-healthcare-marengo-ia.htm,Compass Memorial Healthcare Ratings,300 W May St,Marengo,IA,52301,(319) 642-5543,Critical Access Hospitals,YES,15% worse,15.0,worse,,,,21.4,,,111.0,POOR,,,IA,Iowa,wait time rating not available,5,15% worse (±1),4,"no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4","no data for specific chief complaint, quality point remains at 4",0
Jackson County Regional Health Center,jackson county regional health center,https://www.hospitalstats.org/hospital-ratings/jackson-county-regional-health-center-maquoketa-ia.htm,Jackson County Regional Health Center Ratings,700 W Grove St,Maquoketa,IA,52060,(563) 652-2474,Critical Access Hospitals,YES,9% worse,9.0,worse,,,,19.9,0.0,0.0,87.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Jackson,wait time rating not available,5,9% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Mercyone Newton Medical Center,mercyone newton medical center,https://www.hospitalstats.org/hospital-ratings/mercyone-newton-medical-center-newton-ia.htm,Mercyone Newton Medical Center Ratings,204 N 4th Ave E,Newton,IA,50208,(641) 792-1273,Acute Care Hospitals,YES,2% better,2.0,better,,,13.2,16.1,1.0,1.0,144.0,AVERAGE,Nurses usually take time to communicate well,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Jasper,wait time rating not available,7,2% better (±0),7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7",5,4
Jefferson County Health Center,jefferson county health center,https://www.hospitalstats.org/hospital-ratings/jefferson-county-health-center-fairfield-ia.htm,Jefferson County Health Center Ratings,2000 S Main,Fairfield,IA,52556,(641) 472-4111,Critical Access Hospitals,YES,7% worse,7.0,worse,,,12.2,19.9,,,80.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Jefferson,wait time rating not available,7,7% worse (±0),7,"no data for specific chief complaint, quality point remains at 7","no data for specific chief complaint, quality point remains at 7",5,4
Mercy Hospital,mercy hospital,https://www.hospitalstats.org/hospital-ratings/mercy-hospital-iowa-city-ia.htm,Mercy Hospital Ratings,500 E Market Street,Iowa City,IA,52245,(319) 339-0300,Acute Care Hospitals,YES,12% better,12.0,better,11.7,12.1,9.8,16.9,4.0,0.0,151.0,AVERAGE,Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Johnson,wait time rating not available,7,12% better (±1),8,6,6,7,5
University Of Iowa Hospital & Clinics,university of iowa hospital & clinics,https://www.hospitalstats.org/hospital-ratings/university-of-iowa-hospital-clinics-iowa-city-ia.htm,University Of Iowa Hospital & Clinics Ratings,200 Hawkins Drive,Iowa City,IA,52242,(319) 356-1616,Acute Care Hospitals,YES,2% better,2.0,better,13.2,14.3,10.0,18.0,50.0,16.0,226.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Johnson,wait time rating not available,7,2% better (±0),7,5,5,6,4
Iowa City Va Medical Center,iowa city va medical center,https://www.hospitalstats.org/hospital-ratings/iowa-city-va-medical-center-iowa-city-ia.htm,Iowa City Va Medical Center Ratings,601 Highway 6 West,Iowa City,IA,52246,(319) 338-0581,Acute Care - Veterans Administration,YES,18% better,18.0,better,11.7,,10.3,14.2,,,0.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms and facilities are usually clean; Rooms were often quiet at night,,IA,Johnson,wait time rating not available,10,18% better (±1),11,9,"no data for specific chief complaint, quality point remains at 11",9,9
Jones Regional Medical Center,jones regional medical center,https://www.hospitalstats.org/hospital-ratings/jones-regional-medical-center-anamosa-ia.htm,Jones Regional Medical Center Ratings,1795 Highway 64 East,Anamosa,IA,52205,(319) 462-6131,Critical Access Hospitals,YES,3% better,3.0,better,,,14.8,14.4,0.0,0.0,103.0,VERY GOOD,Nurses usually respond quickly when patients need help; Patients usually receive help when they request it; Rooms were often quiet at night,,IA,Jones,wait time rating not available,10,3% better (±0),10,"no data for specific chief complaint, quality point remains at 10","no data for specific chief complaint, quality point remains at 10",8,8
Kossuth Regional Health Center,kossuth regional health center,https://www.hospitalstats.org/hospital-ratings/kossuth-regional-health-center-algona-ia.htm,Kossuth Regional Health Center Ratings,1515 South Phillips Street,Algona,IA,50511,(515) 295-2451,Critical Access Hospitals,YES,25% worse,25.0,worse,,19.0,17.9,21.6,2.0,0.0,92.0,VERY GOOD,,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Kossuth,wait time rating not available,10,25% worse (±1),9,"no data for specific chief complaint, quality point remains at 9",6,6,5
Mercy Medical Center - Cedar Rapids,mercy medical center - cedar rapids,https://www.hospitalstats.org/hospital-ratings/mercy-medical-center--cedar-rapids-cedar-rapids-ia.htm,Mercy Medical Center - Cedar Rapids Ratings,701 10th Street Se,Cedar Rapids,IA,52403,(319) 398-6011,Acute Care Hospitals,YES,4% worse,4.0,worse,15.6,17.0,10.4,15.9,10.0,1.0,188.0,AVERAGE,Nurses usually take time to communicate well; Doctors usually communicate well with patients,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Linn,wait time rating not available,7,4% worse (±0),7,4,4,5,4
St Lukes Hospital,st lukes hospital,https://www.hospitalstats.org/hospital-ratings/st-lukes-hospital-cedar-rapids-ia.htm,St Lukes Hospital Ratings,1026 A Ave Ne,Cedar Rapids,IA,52402,(319) 369-7211,Acute Care Hospitals,YES,3% worse,3.0,worse,12.7,17.5,11.1,17.1,15.0,0.0,189.0,VERY GOOD,Nurses usually take time to communicate well; Doctors usually communicate well with patients; Rooms and facilities are usually clean,Staff doesn't respond quickly when patients need help; Patients often don't receive help when they request it,IA,Linn,wait time rating not available,10,3% worse (±0),10,8,7,8,7
Lucas County Health Center,lucas county health center,https://www.hospitalstats.org/hospital-ratings/lucas-county-health-center-chariton-ia.htm,Lucas County Health Center Ratings,1200 North 7th Street,Chariton,IA,50049,(641) 774-3000,Critical Access Hospitals,YES,6% worse,6.0,worse,,,,19.4,1.0,0.0,108.0,POOR,,Nurses often fail to communicate; Doctors often fail to communicate with patients,IA,Lucas,wait time rating not available,5,6% worse (±0),5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5",2
Avera Merrill Pioneer Hospital,avera merrill pioneer hospital,https://www.hospitalstats.org/hospital-ratings/avera-merrill-pioneer-hospital-rock-rapids-ia.htm,Avera Merrill Pioneer Hospital Ratings,1100 S 10th Ave,Rock Rapids,IA,51246,(712) 472-2591,Critical Access Hospitals,YES,,,,,,,,0.0,0.0,105.0,POOR,,Staff doesn't respond quickly when patients need help; Nurses often fail to communicate; Doctors often fail to communicate with patients; Patients often don't receive help when they request it; Facilities are sometimes dirty,IA,Lyon,wait time rating not available,5,mortality not used,5,"no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5","no data for specific chief complaint, quality point remains at 5"
